,Episode,Time_step,Average Win Num,Average reward,Average Episode Length
0,8,699,0.125,165.8456863329178,41.25
1,16,995,0.0,165.71691897797425,37.0
2,24,1416,0.25,160.38543944462782,52.625
3,32,1847,0.25,171.59908488693426,53.875
4,40,2171,0.125,181.79786510309515,40.5
5,48,2568,0.0,159.5273456103772,49.625
6,56,2827,0.125,184.41759430974864,32.375
7,64,3212,0.5,173.0171569288067,48.125
8,72,3653,0.125,186.48717194040853,55.125
9,80,3987,0.125,170.72249354912262,41.75
10,88,4281,0.125,166.53426371335496,36.75
11,96,4692,0.25,169.7922269776252,51.375
12,104,5091,0.375,176.41998410361288,49.875
13,112,5489,0.125,176.28719749487942,49.75
14,120,5841,0.375,195.67305663484268,44.0
15,128,6169,0.125,171.07726164634485,41.0
16,136,6621,0.625,157.44199735095495,56.5
17,144,6935,0.0,184.28803275317563,39.25
18,152,7345,0.25,194.06687485323982,51.25
19,160,7708,0.125,175.7033715134278,45.375
20,168,8181,0.375,182.00709858014062,59.125
21,176,8448,0.0,135.79494345287662,33.375
22,184,8744,0.125,182.14617299966642,37.0
23,192,9086,0.125,192.4276631629793,42.75
24,200,9597,0.75,162.91155310009663,63.875
25,208,9848,0.0,162.60889943097627,31.375
26,216,10211,0.25,199.74360465014774,45.375
27,224,10634,0.375,159.37648358483676,52.875
28,232,11032,0.375,168.93580654174337,49.75
29,240,11487,0.375,168.81567387509227,56.875
30,248,11892,0.25,154.00773457129816,50.625
31,256,12177,0.125,171.97129924494246,35.625
32,264,12506,0.0,175.1490455542351,41.125
33,272,12939,0.375,134.339912090162,54.125
34,280,13276,0.25,193.42780059345586,42.125
35,288,13800,0.5,166.5438361401591,65.5
36,296,14082,0.125,187.99350849201278,35.25
37,304,14450,0.25,174.413989335209,46.0
38,312,14829,0.25,189.89845879362122,47.375
39,320,15312,0.375,164.01435559309937,60.375
40,328,15715,0.125,189.2564975932812,50.375
41,336,16241,0.5,156.79473504958088,65.75
42,344,16643,0.375,191.25060797968257,50.25
43,352,17230,0.75,169.97243258927517,73.375
44,360,17805,0.625,154.1411946752723,71.875
45,368,18166,0.25,180.46217774994383,45.125
46,376,18631,0.375,158.30562427543092,58.125
47,384,19133,0.375,192.5870325788493,62.75
48,392,19482,0.25,190.93959888578414,43.625
49,400,20000,0.375,174.75214520836533,64.75
50,408,20523,0.375,172.83444722206332,65.375
51,416,20908,0.25,205.08958705964224,48.125
52,424,21359,0.5,181.62275449843565,56.375
53,432,21857,0.375,171.22016650822673,62.25
54,440,22258,0.125,192.6234370443484,50.125
55,448,22763,0.25,161.63507773699246,63.125
56,456,22974,0.0,135.50275946382408,26.375
57,464,23429,0.25,170.91124544722246,56.875
58,472,23866,0.25,178.96201100843956,54.625
59,480,24240,0.125,181.65894365523297,46.75
60,488,24656,0.25,159.23976002414275,52.0
61,496,25067,0.25,210.73460904836662,51.375
62,504,25498,0.5,206.36355678874412,53.875
63,512,26073,0.875,168.58765673408874,71.875
64,520,26521,0.25,198.62371998870407,56.0
65,528,26915,0.375,186.30390508708317,49.25
66,536,27380,0.375,191.751372139352,58.125
67,544,27856,0.5,165.89338563248677,59.5
68,552,28443,1.125,197.48155243493977,73.375
69,560,28967,0.375,167.92995437545864,65.5
70,568,29632,0.875,181.37888436104134,83.125
