Episode,Average Win Num,Average Survival Time,Average Speed
0,0.0,51.2,12.700609
1,1.0,39.4,7.681521
2,0.0,61.4,15.017389
3,0.0,45.0,10.555536
4,0.0,62.2,15.174367
5,0.0,45.0,11.209172
6,0.0,63.2,15.509939
7,0.0,69.0,15.923136
0,0.0,67.0,24.235546
1,0.0,31.4,23.677797
2,0.0,56.4,24.35916
3,1.0,34.8,23.376648
4,0.0,49.0,25.076517
5,0.0,55.6,23.983265
6,0.0,60.8,24.93121
7,0.0,45.0,24.474125
0,0.0,45.8,17.405697
1,0.0,61.2,19.81832
2,0.0,60.2,20.078215
3,0.0,51.2,17.45718
4,0.0,44.8,17.245377
5,0.0,53.6,18.81986
6,0.0,56.8,19.6023
7,1.0,45.8,15.693085
0,0.0,55.2,24.314075
1,0.0,59.2,24.310093
2,0.0,35.8,23.331017
3,0.0,57.8,24.67479
4,0.0,64.4,24.56919
5,1.0,28.0,20.992321
6,0.0,44.8,24.46381
7,0.0,60.4,24.650059
0,1.0,43.0,8.21697
1,0.0,54.8,12.647507
2,0.0,56.8,13.534103
3,0.0,72.8,16.683422
4,0.0,52.8,13.082415
5,0.0,59.4,14.190653
6,0.0,58.8,14.380762
7,0.0,54.8,12.316438
0,0.0,62.4,13.999441
1,0.0,65.0,13.310559
2,1.0,54.2,9.854459
3,0.0,57.4,13.015898
4,0.0,44.6,8.108052
5,0.0,56.4,11.6911335
6,0.0,61.0,13.810457
7,0.0,54.0,11.206798
0,1.0,31.2,10.886656
1,0.0,51.6,19.287827
2,0.0,69.2,21.408678
3,0.0,57.2,18.490015
4,0.0,53.6,19.977201
5,0.0,61.8,20.186459
6,0.0,51.8,19.647034
7,0.0,56.0,18.821644
0,1.0,47.0,23.849792
1,1.0,27.0,23.249155
2,0.0,54.0,24.20361
3,0.0,46.0,24.843914
4,1.0,25.2,22.503326
5,1.0,30.6,22.602045
6,0.0,55.8,24.450777
7,1.0,50.6,23.68761
0,0.0,54.6,12.013047
1,0.0,56.2,13.372553
2,0.0,55.8,13.290034
3,0.0,69.6,15.730448
4,0.0,58.2,13.946188
5,1.0,51.2,10.314349
6,0.0,62.4,14.975134
7,0.0,57.6,13.123848
0,0.0,45.6,23.571186
1,0.0,37.6,23.982878
2,0.0,52.0,24.70071
3,0.0,55.4,24.308975
4,1.0,39.4,23.410877
5,0.0,44.8,24.463873
6,0.0,33.8,23.869488
7,0.0,47.2,24.675854
0,0.0,71.4,10.286154
1,1.0,57.6,6.3270974
2,0.0,72.2,10.263788
3,0.0,71.6,9.700372
4,0.0,69.8,9.973028
5,0.0,59.4,7.140105
6,0.0,64.0,8.424724
7,0.0,74.0,11.071135
0,0.0,47.0,24.400602
1,0.0,56.2,23.680721
2,1.0,44.6,23.221855
3,0.0,45.6,23.5607
4,0.0,37.2,23.571026
5,0.0,41.4,23.856289
6,0.0,34.4,24.333467
7,0.0,61.8,24.603874
0,0.0,37.2,23.45564
1,0.0,58.6,24.376444
2,0.0,37.8,24.499273
3,1.0,27.0,21.362478
4,0.0,43.4,24.015722
5,1.0,26.8,20.059021
6,0.0,38.8,24.718163
7,0.0,54.4,24.87778
0,0.0,47.4,24.742167
1,1.0,31.0,22.504648
2,0.0,45.8,24.402065
3,0.0,45.2,23.954447
4,1.0,30.4,22.002323
5,0.0,47.6,24.318722
6,0.0,49.2,24.843876
7,1.0,28.0,21.031551
0,0.0,40.6,24.48518
1,0.0,31.2,22.975437
2,1.0,29.0,24.473637
3,0.0,34.0,24.243587
4,0.0,49.0,24.67454
5,0.0,61.4,24.605686
6,0.0,49.0,24.741468
7,1.0,32.0,23.165096
0,0.0,40.8,24.756342
1,0.0,58.4,24.821438
2,0.0,39.4,24.518864
3,0.0,55.4,24.370184
4,1.0,40.0,25.381779
5,0.0,37.4,23.681866
6,1.0,30.2,22.219841
7,0.0,55.2,24.373007
0,0.0,39.8,22.501865
1,1.0,49.6,23.109308
2,0.0,43.6,23.502308
3,0.0,48.6,24.24577
4,0.0,32.0,22.788504
5,0.0,57.2,24.153996
6,1.0,30.0,24.33021
7,0.0,55.0,24.308382
0,0.0,37.8,24.644705
1,0.0,59.0,24.03668
2,0.0,47.8,24.498936
3,0.0,50.4,24.477377
4,0.0,53.0,24.645021
5,0.0,34.0,24.19174
6,0.0,43.2,23.953121
7,1.0,27.8,19.23355
0,0.0,54.2,24.456318
1,1.0,38.4,23.080124
2,0.0,68.0,24.079838
3,2.0,43.0,21.880892
4,0.0,55.0,24.376423
5,0.0,38.4,24.163107
6,0.0,42.2,23.541859
7,0.0,57.0,23.486065
0,0.0,52.8,24.003002
1,0.0,52.0,24.230017
2,0.0,52.8,24.309202
3,0.0,48.2,23.470623
4,0.0,45.2,24.552746
5,1.0,27.4,21.245205
6,0.0,43.0,23.754915
7,0.0,52.8,24.7224
0,0.0,67.2,8.89176
1,0.0,71.8,8.990793
2,0.0,69.6,8.611064
3,1.0,62.0,6.4005523
4,0.0,70.2,8.976718
5,0.0,73.6,9.569479
6,0.0,74.0,9.8467655
7,0.0,73.4,9.787828
0,0.0,61.4,24.409464
1,1.0,50.0,22.125828
2,0.0,55.2,24.592178
3,1.0,33.4,23.19577
4,0.0,55.0,24.399242
5,1.0,35.0,23.127441
6,0.0,48.4,24.733074
7,1.0,47.6,22.895336
0,1.0,29.8,21.372995
1,0.0,30.0,23.195782
2,0.0,36.2,24.581194
3,1.0,48.2,22.787601
4,0.0,52.0,24.348385
5,1.0,29.8,22.69778
6,0.0,43.8,24.098566
7,0.0,52.4,24.278055
0,1.0,29.2,25.618183
1,0.0,49.8,23.131907
2,1.0,23.0,21.804367
3,0.0,29.6,23.91694
4,0.0,48.6,24.460396
5,0.0,56.0,24.247849
6,0.0,27.8,24.266964
7,1.0,38.2,25.371826
0,0.0,43.0,23.643261
1,0.0,46.2,24.383755
2,0.0,60.4,24.556297
3,0.0,49.0,23.945477
4,0.0,35.8,24.241955
5,1.0,30.2,22.143776
6,0.0,55.8,24.651865
7,0.0,43.2,23.873413
0,0.0,51.8,24.639143
1,0.0,44.2,24.441372
